title,platform,publisher,sales_genre,release_year,rating,na_sales,eu_sales,jp_sales,other_sales,global_sales,plays,playing,backlogs,wishlist,num_reviews,sales_per_review,engagement_ratio
Batman: Arkham City,PC,Warner Bros. Interactive Entertainment,Action,2011,4.1,0.16,0.28,0.0,0.09,0.53,16000.0,192.0,2700.0,651.0,1600.0,0.0003,0.012
Batman: Arkham City,WiiU,Warner Bros. Interactive Entertainment,Action,2011,4.1,0.17,0.18,0.0,0.03,0.38,16000.0,192.0,2700.0,651.0,1600.0,0.0002,0.012
Yakuza Kiwami,PS4,Sega,Adventure,2016,3.7,0.0,0.0,0.16,0.0,0.16,9700.0,439.0,3400.0,1000.0,1200.0,0.0001,0.0453
Yakuza Kiwami,PS3,Sega,Adventure,2016,3.7,0.0,0.0,0.12,0.0,0.12,9700.0,439.0,3400.0,1000.0,1200.0,0.0001,0.0453
Phoenix Wright: Ace Attorney,DS,Capcom,Adventure,2005,4.1,0.49,0.07,0.39,0.05,0.99,12000.0,418.0,1900.0,1000.0,1300.0,0.0008,0.0348
Life is Strange,PS4,Square Enix,Adventure,2015,3.4,0.14,0.15,0.03,0.06,0.37,15000.0,209.0,2100.0,817.0,1400.0,0.0003,0.0139
Life is Strange,XOne,Square Enix,Adventure,2015,3.4,0.08,0.02,0.0,0.01,0.11,15000.0,209.0,2100.0,817.0,1400.0,0.0001,0.0139
Life is Strange,PC,Square Enix,Adventure,2015,3.4,0.01,0.03,0.0,0.0,0.04,15000.0,209.0,2100.0,817.0,1400.0,0.0,0.0139
Shadow of the Colossus,PS2,Sony Computer Entertainment,Action,2005,4.4,0.78,0.03,0.2,0.13,1.14,10000.0,134.0,2900.0,1700.0,1500.0,0.0008,0.0134
Shadow of the Colossus,PS3,Sony Computer Entertainment,Action,2005,4.4,0.0,0.0,0.04,0.0,0.04,10000.0,134.0,2900.0,1700.0,1500.0,0.0,0.0134
Psychonauts,XB,THQ,Platform,2005,4.0,0.09,0.03,0.0,0.0,0.12,7100.0,388.0,4200.0,1200.0,1200.0,0.0001,0.0546
Psychonauts,PS2,Majesco Entertainment,Platform,2005,4.0,0.05,0.04,0.0,0.01,0.09,7100.0,388.0,4200.0,1200.0,1200.0,0.0001,0.0546
Fallout 4,PS4,Bethesda Softworks,Role-Playing,2015,3.1,2.47,3.15,0.24,1.1,6.96,16000.0,407.0,2900.0,752.0,1000.0,0.007,0.0254
Fallout 4,XOne,Bethesda Softworks,Role-Playing,2015,3.1,2.45,1.26,0.01,0.37,4.09,16000.0,407.0,2900.0,752.0,1000.0,0.0041,0.0254
